address,coordinates,fax,google_maps_url,id,latitude,longitude,object_id,opening_date,phone,target,waze_url,whatsapp_number,whatsapp_url,working_hours
"Aşağı Öysüzlü kəndi, Tovuz rayonu","40.979346149539,45.624428658896",,"https://www.google.com/maps/?q=40.979346149539,45.624428658896",detail373178,40.979346149539,45.624428658896,373178,07.08.2023,151,detail373178,"https://waze.com/ul?ll=40.979346149539,45.624428658896",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Ə.Əliyev küç. B-17 (A bloku) 
AZ7007, Naxçıvan Muxtar Respublikası, Azərbaycan","39.205344326425,45.423640886161",,"https://www.google.com/maps/?q=39.205344326425,45.423640886161",detail113091,39.205344326425,45.423640886161,113091,22.11.2022,151,detail113091,"https://waze.com/ul?ll=39.205344326425,45.423640886161",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Qəbələ şəhəri,
Heydər Əliyev prospekti, 105","40.968144,47.837952",,"https://www.google.com/maps/?q=40.968144,47.837952",detail115771,40.968144,47.837952,115771,05.11.2022,151,detail115771,"https://waze.com/ul?ll=40.968144,47.837952",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Tbilisi prospekti 3, 
Bakı AZ1065, Azərbaycan","40.388071578142,49.826354159796",,"https://www.google.com/maps/?q=40.388071578142,49.826354159796",detail106466,40.388071578142,49.826354159796,106466,,151,detail106466,"https://waze.com/ul?ll=40.388071578142,49.826354159796",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Babək pr., 76c, Bakı, 
AZ1030, Azərbaycan","40.394848,49.950564",(+994 12) 570 97 17,"https://www.google.com/maps/?q=40.394848,49.950564",detail121,40.394848,49.950564,121,19.05.2003,151,detail121,"https://waze.com/ul?ll=40.394848,49.950564",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"H.Əliyev pr. Balakən,
AZ0814 , Azərbaycan","41.705152080647,46.425973572499",,"https://www.google.com/maps/?q=41.705152080647,46.425973572499",detail2524970,41.705152080647,46.425973572499,2524970,,151,detail2524970,"https://waze.com/ul?ll=41.705152080647,46.425973572499",994554400151,https://wa.me/994554400151,
"Azadlıq pr., 97, Bakı, 
AZ1007, Azərbaycan","40.393512,49.840508",(+994 12) 449 46 74,"https://www.google.com/maps/?q=40.393512,49.840508",detail123,40.393512,49.840508,123,01.11.2006,151,detail123,"https://waze.com/ul?ll=40.393512,49.840508",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"R.Rza küç., 15, Bakı, AZ1095, Azərbaycan","40.371467,49.839688",(+994 12) 493 51 41,"https://www.google.com/maps/?q=40.371467,49.839688",detail124,40.371467,49.839688,124,24.01.2007,151,detail124,"https://waze.com/ul?ll=40.371467,49.839688",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00–18:00KassaBazar ertəsi-Cümə: 09:00–17:00Şənbə: 11:00–16:00
"S.Mehmandarov küc., 28A, Bakı, 
Azərbaycan","40.428143,49.956989",(+994 12) 429 37 00,"https://www.google.com/maps/?q=40.428143,49.956989",detail125,40.428143,49.956989,125,24.09.2007,151,detail125,"https://waze.com/ul?ll=40.428143,49.956989",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"S.Yesenin küç.,2a, Bakı, 
AZ1044, Azərbaycan","40.487948,50.137836",(+994 12) 554 46 50,"https://www.google.com/maps/?q=40.487948,50.137836",detail126,40.487948,50.137836,126,10.10.2008,151,detail126,"https://waze.com/ul?ll=40.487948,50.137836",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"9-cu mikrorayon, Ş.Bədəlbəyli küç., 50a, Sumqayıt, 
AZ5000, Azərbaycan","40.576965,49.681808",(+994 18) 644 40 39,"https://www.google.com/maps/?q=40.576965,49.681808",detail127,40.576965,49.681808,127,31.10.2003,151,detail127,"https://waze.com/ul?ll=40.576965,49.681808",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Qalubiyyə küç. 13A, Xırdalan, 
AZ0100, Azərbaycan","40.453331,49.747776",(+994 12) 342 64 22,"https://www.google.com/maps/?q=40.453331,49.747776",detail128,40.453331,49.747776,128,18.06.2008,151,detail128,"https://waze.com/ul?ll=40.453331,49.747776",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Badamdar şossesi, bina 220, 1-ci yaşayış massivi,Bakı 
AZ1023, Azərbaycan","40.345715,49.81048",(+994 12) 502 63 07,"https://www.google.com/maps/?q=40.345715,49.81048",detail129,40.345715,49.81048,129,27.07.2012,151,detail129,"https://waze.com/ul?ll=40.345715,49.81048",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
