address,branch_code,coordinates_id,createdAt,director,documentId,filter_tags,has_safe_box,has_weekend_hours,id,latitude,locale,longitude,nearby_metro,phone_numbers,publishedAt,title,updatedAt,work_time
"Ağdaş, H.Əliyev prospekti 96",252,283,2025-03-06T06:12:32.171Z,Amanov Marat,pklomkqc06mal0hm1euz8ih8,,False,False,234,40.644077,az,47.475788,,(+994 12) 493 00 91 |  937 |  (+994 20) 235 50 60,2025-03-06T06:12:32.200Z,Ağdaş filialı,2025-03-06T06:12:33.036Z,Bazar ertəsi – Cümə: 09:00-17:00
"Bakı, 28 may küç. 21A",207,1594,2025-03-06T06:12:18.560Z,Xəyyam Hacıyev,c9rm8nmoli23a51mucmpuwos,Həftəsonu işləyən filiallar | Seyf olan filiallar,True,True,722,40.377341,az,49.849451,"28 may (11 dəqiqə, green line) | Sahil (16 dəqiqə, orange line) | İçərişəhər  (34 dəqiqə, red line)",(+994 12) 493 00 91 |  937,2025-12-03T07:16:49.307Z,Nəsimi filialı,2025-12-03T07:20:27.972Z,Bazar ertəsi – Cümə: 09:00-17:00 | Şənbə: 10:00-14:00
"Bakı, Xətai rayonu, V.Tau küçəsi, Heydər Əliyev parkının yaxınlığı",933,1499,2025-09-26T10:45:29.625Z,Mircani İlyasov,bsuc9o4nebhqw4r86n144csu,Həftəsonu işləyən filiallar,False,True,702,40.37817041786809,az,49.95578483152176,"Əhmədli (15 dəqiqə, green line) | Həzi Aslanov (18 dəqiqə, orange line)",(+994 12) 437 79 00 | 937,2025-12-03T06:49:41.635Z,ASAN 6 filialı,2025-12-03T06:52:41.102Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 09:30 - 17:00 | Bazar: Yalnız ASAN xidmət mərkəzinə olunan vətəndaş müraciətləri ilə bağlı bank xidmətləri 
"Şabran, H.Əliyev küçəsi 101",253,300,2025-03-06T06:12:35.475Z,Anar Yusifov,e03t90lwi69ytl2wazi0ji73,,False,False,246,41.212433,az,48.986492,,(+994 12) 493 00 91 |  937 |  (+994 23) 353 24 33,2025-03-06T06:12:35.491Z,Şabran filialı,2025-03-06T06:12:36.567Z,Bazar ertəsi – Cümə: 09:00-17:00
"Xətai rayonu, 8 Noyabr pr.23, AMAY Ticarət Mərkəzi",215,1639,2025-03-06T06:12:11.149Z,Абдулмаджид Алиев,pazjj8bn5nrepu529vtkp7c7,Həftəsonu işləyən filiallar | Seyf olan filiallar,True,True,731,40.37918,az,49.87869,"Xətai (14 dəqiqə, green line)",(+994 12) 493 00 91 |  937,2025-12-03T10:31:38.609Z,Xətai filialı,2025-12-03T10:35:19.230Z,Bazar ertəsi – Cümə: 09:00-17:00 | Şənbə: 10:00-14:00
"Göyçay, Heydər Əliyev prospekti 38",256,328,2025-03-06T06:12:40.773Z,Elnur Məmmədov,jkyf28otct83659yfmsrdumg,,False,False,264,40.649455,az,47.748114,,(+994 12) 493 00 91 |  937 |  (+994 20) 274 15 76,2025-03-06T06:12:40.789Z,Göyçay filialı,2025-03-06T06:12:41.847Z,Bazar ertəsi – Cümə: 09:00 - 17:00
"Xaçmaz, N.Nərimanov prospekti 50A",267,336,2025-03-06T06:12:43.097Z,Fərid Hüseynov,vxsqotu27h8it1ozmx29u4ak,,False,False,270,41.471161,az,48.809338,,(+994 12) 493 00 91 |  937 |  (+994 23) 325 33 89,2025-03-06T06:12:43.115Z,Xaçmaz filialı,2025-03-06T06:12:44.733Z,Bazar ertəsi – Cümə: 09:00-17:00
"Kürdəmir, H.Əliyev prospekti 14",260,354,2025-03-06T06:12:47.767Z,Bəşirov Ramal Tahir,krliwm8otr7dlasxx14lhhpa,,False,False,282,40.343666,az,48.157539,,(+994 12) 493 00 91 |  937,2025-03-06T06:12:47.784Z,Kürdəmir filialı,2025-03-06T06:12:48.666Z,Bazar ertəsi – Cümə: 09:00 -17:00
"Zaqatala, Vidadi küçəsi 28a",269,364,2025-03-06T06:12:49.653Z,Qalib Tahirzadə,sh31anyt3jmgpn4dn85t4byq,,False,False,288,41.6288793,az,46.6413267,,(+994 12) 493 00 91 |  937,2025-03-06T06:12:49.671Z,Zaqatala filialı,2025-03-06T06:12:50.653Z,Bazar ertəsi – Cümə: 09:00-17:00
"Qazax, H.Əliyev prospekti 75",254,372,2025-03-06T06:12:51.335Z,Rahib Vəliyev,mofz4apsir4k499cg0nvbq0k,,False,False,294,41.0899,az,45.35891,,(+994 12) 493 00 91 |  937,2025-03-06T06:12:51.353Z,Qazax filialı,2025-03-06T06:12:52.303Z,Bazar ertəsi – Cümə: 09:00-17:00
