id,name,address,phone,email,working_hours,latitude,longitude
1,Baş ofis,"Bakı şəh., Y.V. Çəmənzəminli küç., 134C",132 _____________________ Açılış tarixi: 1989,bsm.mxd@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.405129980331,49.84901261056
4,Nəsimi filialı,"Bakı şəh., Nəsimi r., Bül-bül pr., 29 / Vidadi küç. 189",132 _____________________ Açılış tarixi: 10.05.2012,bsm.nasimi@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.37615053253,49.842804197306
7,Elmlər Akademiyası filialı,"Bakı şəh., B.Vahabzadə küç., 5",132 _____________________ Açılış tarixi: 14.01.2016,bsm.elmler@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.37546560702,49.812403654977
10,Yasamal filialı,"Bakı şəh., Həsən bəy Zərdabi pr., 3166-cı məhəllə",132 _____________________ Açılış tarixi: 13.05.2010,bsm.yasamal@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.400919445075,49.806109583813
13,Xətai filialı,"Bakı şəh., Xocalı pr. 55",132 _____________________ Açılış tarixi: 03.02.2016,bsm.xatai@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.383617572576,49.878068681965
16,Əhmədli filialı,"Bakı şəh., M. Hadi küç., 31S",132 _____________________ Açılış tarixi: 14.01.2016,bsm.ahmadli@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.385971182729,49.95434182799
19,Neftçilәr filialı,"Bakı şəh., R. Rüstәmov küç., 34B",132 _____________________ Açılış tarixi: 24.07.2012,bsm.neftchiler@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.407588921959,49.938153926143
22,Qaradağ filialı,"Bakı şəh., Lökbatan qəs., “Binə“ Ticarət Mərkəzi, 1-ci sıra",132 _____________________ Açılış tarixi: 20.06.2011,bsm.qaradag@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.299815164115,49.754649078039
25,Sumqayıt filialı,"Sumqayıt şəh., 30-cu mәh.,Sülh küç. / Nərimanov küç., 6/10 və 7/27",132 _____________________ Açılış tarixi: 17.03.2010,bsm.sumgayit@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.589987531221,49.676478654984
28,Gəncə filialı,"Gəncə şəh., Atatürk pr., 2-ci dalan, 1",132 _____________________ Açılış tarixi: 17.03.2010,bsm.ganca@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.680771859408,46.358166572176
31,Mingәçevir filialı,"Mingəçevir şəh., H. Əliyev pr.,47/2",132 _____________________ Açılış tarixi: 17.03.2010,bsm.mingecevir@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.769319889898,47.053370168484
34,Bərdə filialı,"Bərdə şəh., H.Əliyev pr., 88 A",132 _____________________ Açılış tarixi: 23.07.2014,bsm.barda@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),40.380972079637,47.124450639636
37,Şirvan filialı,"Şirvan şəh., H. Əliyev pr., 58",132 _____________________ Açılış tarixi: 17.03.2010,bsm.shirvan@expressbank.az,Bazar ertəsi-Cümə: 09.00-18.00 (Kassa 17.15-dək xidmət göstərir),39.967815545675,48.943271476409
40,Qusar filialı,"Qusar şəh., A. Xamәtov küç., Avtovağzal",132 _____________________ Açılış tarixi: 26.04.2010,bsm.gusar@expressbank.az,Bazar ertəsi - Cümə: 09:00 - 18:00 (Kassa 17:15-dək xidmət göstərir),41.431608401451,48.440654239671
43,Xaçmaz filialı,"Xaçmaz şəh., H.Əliyev küç., 2A",132 _____________________ Açılış tarixi: 17.03.2010,bsm.xachmaz@expressbank.az,Bazar ertəsi - Cümə: 09:00 - 18:00 (Kassa 17:15-dək xidmət göstərir),41.466572093906,48.804661194295
2368,Lənkəran filialı,"Lənkəran şəhəri, Müzəffər Nəsirli küçəsi, 7",132 _____________________ Açılış tarixi: 23.08.2024,bsm.lankaran@expressbank.az,Bazar ertəsi - Cümə: 09:00-18:00 (Kassa 17:15-dək xidmət göstərir),38.753263,48.852664
