name,address,working_hours,latitude,longitude
Baş Ofis,"Bakı ş., İ.Qutqaşınlı 85",Bazar ertəsi-Cümə: 9:00-17:00,40.3755885,49.8328009
Mərkəz Filialı,"Bakı ş., Nizami küç., 53",Bazar ertəsi-Cümə: 9:00-17:00,40.3770942,49.8532863
Gənclik Filialı,"Bakı ş., Fətəli Xan Xoyski pr., 106",Bazar ertəsi-Cümə: 9:00-17:00,40.3755885,49.8328009
Neftçilər Filialı,"Bakı ş., Q.Qarayev pr., 61",Bazar ertəsi-Cümə: 9:00-17:00,40.3755885,49.8328009
Yasamal Filialı,"Bakı ş., Akim Abbasov küç., 84",Bazar ertəsi-Cümə: 9:00-17:00,40.3755885,49.8328009
Binəqədi Filialı,"Bakı ş., Ə.Naxçıvani küç., 11c, 3066-cı məhəllə",Bazar ertəsi-Cümə: 9:00-17:00,40.3755885,49.8328009
28 May Filialı,"Bakı ş., D.Əliyeva küç., 251",Bazar ertəsi-Cümə: 9:00-17:00,40.3755885,49.8328009
Gəncə Filialı,"Gəncə ş., Cavadxan küç., 24",Bazar ertəsi-Cümə: 9:00-17:00,40.6798083,46.3597178
Zaqatala Filialı,"Zaqatala ş., H.Əliyev pr., 100",Bazar ertəsi-Cümə: 9:00-17:00,41.6307469,46.6435449
Sumqayıt Filialı,"Sumqayıt ş., H.Əliyev pr. 136C",Bazar ertəsi-Cümə: 9:00-17:00,40.7039350,49.6576930
Tovuz Filialı,"Tovuz ş., Sabir küç., 15",Bazar ertəsi-Cümə: 9:00-17:00,40.9925050,45.6159428
Ağstafa Filialı,"Ağstafa ş., H.Əliyev küç., 8",Bazar ertəsi-Cümə: 9:00-17:00,41.1980651,45.5280953
Xaçmaz Filialı,"Xaçmaz ş., N. Nərimanov küç. 66",Bazar ertəsi-Cümə: 9:00-17:00,41.4655339,48.8011599
Cəlilabad Filialı,"Cəlilabad şəh.,Azərbaycan küç.137",Bazar ertəsi-Cümə: 9:00-17:00,39.2103933,48.5050593
Ağcabədi Filialı,"Ağcabədi şəh., Ü.Hacıbəyli pr., 66A",Bazar ertəsi-Cümə: 9:00-17:00,40.0505440,47.4607462
Göyçay Filialı,"AZ2300 Göyçay ş., R.Rza küç., 83D",Bazar ertəsi-Cümə: 9:00-17:00,40.6494415,47.7412208
Qazax filialı,"Qazax ş., H. Əliyev pr. 163B",Bazar ertəsi-Cümə: 9:00-17:00,41.0911532,45.3610290
Abşeron filialı,"Abşeron r-nu.,Xırdalan ş. H.Əliyev pr., 299",Bazar ertəsi-Cümə: 9:00-17:00,40.4531707,49.7454579
Qaradağ filialı,"Bakı şəhəri, Qaradağ rayonu, Lökbatan qəsəbəsi, Binə Ticarət Mərkəzi, 3-cü sıranın qarşısı, 122 saylı obyekt",Bazar ertəsi-Cümə: 9:00-17:00,40.3755885,49.8328009
